wavenumber_cm-1,transmittance_percent
3461.21,98.713
3462.52,98.724
3463.78,98.734
3465.04,98.739
3466.34,98.744
3467.60,98.750
3468.87,98.750
3470.17,98.760
3471.43,98.781
3472.69,98.807
3473.99,98.823
3475.26,98.818
3476.52,98.807
3477.82,98.807
3479.08,98.818
3480.35,98.834
3481.88,98.849
3483.18,98.860
3484.44,98.881
3485.70,98.897
3487.00,98.917
3488.27,98.938
3489.53,98.948
3490.83,98.944
3492.09,98.938
3493.36,98.938
3494.66,98.938
3495.92,98.954
3497.18,98.975
3498.48,99.007
3499.74,99.032
3501.01,99.058
3502.31,99.080
3503.57,99.080
3504.83,99.058
3506.13,99.032
3507.40,99.011
3508.66,99.011
3509.96,99.027
3511.22,99.064
3512.75,99.111
3514.02,99.158
3515.32,99.190
3516.58,99.216
3517.84,99.231
3519.14,99.242
3520.41,99.247
3521.67,99.252
3522.97,99.263
3524.23,99.274
3525.50,99.289
3526.80,99.315
3528.06,99.347
3529.32,99.368
3530.62,99.373
3531.89,99.368
3533.15,99.357
3534.45,99.357
3535.71,99.384
3536.97,99.415
3538.27,99.446
3539.54,99.467
3540.80,99.472
3542.10,99.451
3543.36,99.415
3544.89,99.394
3546.16,99.410
3547.46,99.457
3548.72,99.483
3549.98,99.483
3551.28,99.451
3552.55,99.425
3553.81,99.410
3555.11,99.399
3556.37,99.378
3557.64,99.341
3558.94,99.294
3560.20,99.247
3561.46,99.216
3562.76,99.221
3564.03,99.258
3565.29,99.289
3566.59,99.305
3567.85,99.310
3569.11,99.336
3570.41,99.394
3571.68,99.494
3572.94,99.624
3574.24,99.745
3575.50,99.802
3577.03,99.781
3578.30,99.698
3579.60,99.582
3580.86,99.488
3582.12,99.420
3583.42,99.384
3584.69,99.394
3585.95,99.472
3587.25,99.604
3588.51,99.750
3589.78,99.897
3591.08,100.032
3592.34,100.148
3593.60,100.248
3594.90,100.331
3596.17,100.399
3597.43,100.431
3598.73,100.436
3599.99,100.436
3601.25,100.457
3602.56,100.483
3603.82,100.509
3605.08,100.556
3606.38,100.604
3607.64,100.645
3609.17,100.672
3610.44,100.692
3611.74,100.708
3613.00,100.745
3614.26,100.802
3615.56,100.834
3616.83,100.818
3618.09,100.776
3619.39,100.735
3620.65,100.698
3621.92,100.677
3623.22,100.651
3624.48,100.609
3625.74,100.531
3627.04,100.425
3628.31,100.315
3629.57,100.216
3630.87,100.132
3632.13,100.064
3633.39,100.022
3634.70,100.022
3635.96,100.075
3637.22,100.164
3638.52,100.274
3639.78,100.399
3641.31,100.525
3642.58,100.598
3643.88,100.593
3645.14,100.494
3646.40,100.342
3647.70,100.179
3648.97,100.038
3650.23,99.959
3651.53,99.959
3652.79,100.017
3654.06,100.111
3655.36,100.216
3656.62,100.342
3657.88,100.499
3659.18,100.682
3660.45,100.845
3661.71,100.991
3663.01,101.132
3664.27,101.248
3665.53,101.295
3666.84,101.263
3668.10,101.206
3669.36,101.159
3670.66,101.106
3672.19,101.059
3673.45,101.022
3674.72,101.002
3676.02,100.986
3677.28,100.965
3678.54,100.939
3679.84,100.923
3681.11,100.918
3682.37,100.923
3683.67,100.933
3684.93,100.949
3686.20,100.970
3687.50,100.996
3688.76,101.022
3690.02,101.022
3691.32,101.012
3692.59,101.002
3693.85,101.007
3695.15,101.038
3696.41,101.091
3697.67,101.148
3698.98,101.190
3700.24,101.179
3701.50,101.132
3702.80,101.054
3704.33,100.965
3705.59,100.928
3706.86,100.944
3708.16,100.991
3709.42,101.049
3710.68,101.101
3711.98,101.143
3713.25,101.164
3714.51,101.175
3715.81,101.179
3717.07,101.159
3718.34,101.117
3719.64,101.069
3720.90,101.033
3722.16,101.002
3723.46,100.975
3724.73,100.949
3725.99,100.949
3727.29,100.965
3728.55,101.002
3729.81,101.054
3731.12,101.112
3732.38,101.138
3733.64,101.112
3734.94,101.059
3736.47,101.022
3737.73,101.022
3739.00,101.038
3740.30,101.054
3741.56,101.075
3742.82,101.101
3744.12,101.132
3745.39,101.132
3746.65,101.112
3747.95,101.085
3749.21,101.069
3750.48,101.080
3751.78,101.101
3753.04,101.106
3754.30,101.091
3755.60,101.054
3756.87,101.018
3758.13,100.996
3759.43,101.002
3760.69,101.028
3761.95,101.080
3763.26,101.138
3764.52,101.175
3765.78,101.179
3767.08,101.153
3768.61,101.096
3769.87,101.043
3771.14,101.012
3772.44,101.002
3773.70,101.002
3774.96,101.007
3776.26,101.002
3777.53,100.996
3778.79,101.002
3780.09,101.018
3781.35,101.033
3782.62,101.043
3783.92,101.054
3785.18,101.059
3786.44,101.059
3787.74,101.054
3789.01,101.049
3790.27,101.049
3791.57,101.038
3792.83,101.018
3794.09,100.996
3795.40,100.991
3796.66,100.996
3797.92,101.007
3799.22,101.018
3800.75,101.022
3802.02,101.012
3803.28,100.996
3804.58,100.981
3805.84,100.981
3807.10,101.002
3808.40,101.033
3809.67,101.075
3810.93,101.101
3812.23,101.106
3813.49,101.101
3814.76,101.096
3816.06,101.091
3817.32,101.096
3818.58,101.106
3819.88,101.122
3821.15,101.128
3822.41,101.122
3823.71,101.112
3824.97,101.106
3826.24,101.112
3827.54,101.122
3828.80,101.132
3830.06,101.138
3831.36,101.132
